Date,Runners,Invalid (ผิดกติกา),Mandalorian Daily,Mandalorian Accumulate,Mandalorian Avg,IT System Daily,IT System Accumulate,IT System Avg
2026-03-01,"Mos: 2.24km, Palm: 6.01km, Jojo: 4.70km",,2.24,442.31,44.23,10.71,535.01,53.50
2026-03-02,"GIO: 9.47km, Chan: 2.53km, Sand: 2.24km, Jojo: 10.01km",,14.24,456.55,45.65,10.01,545.02,54.50
2026-03-02,Ton: 1.59km,,0,456.55,45.65,1.59,546.61,54.66
2026-03-03,"GIO: 7.92km, GIO: 4.37km, Toro: 4.52km, EM: 5.15km, Sand: 7.27km, Fuse: 4.78km, Mos: 2.95km, Oat: 5.10km, O: 6.00km",,36.96,493.51,49.35,11.10,557.71,55.77
2026-03-04,"Sand: 2.07km, Chan: 4.94km, Oat: 5.06km, Jojo: 2.34km, O: 6.01km, Boy: 5.38km",,7.01,500.52,50.05,18.79,576.50,57.65
2026-03-05,"GIO: 5.70km, GIO: 8.36km, Boat: 5.08km, Sand: 2.56km, Jojo: 10.01km",,21.70,522.22,52.22,10.01,586.51,58.65
2026-03-07,"GIO: 10.03km, GIO: 6.65km, Boat: 8.68km, Boy: 7.00km, Oat: 5.04km",,25.36,547.58,54.76,12.04,598.55,59.85
2026-03-08,"Sand: 7.12km, Sand: 2.86km, Toro: 5.52km, EM: 7.16km, Fuse: 5.91km, Chan: 5.47km, Boy: 7.08km, O: 22.40km, Palm: 5.01km, Jojo: 12.46km",,34.04,581.62,58.16,46.95,645.50,64.55
2026-03-09,"GIO: 5.57km, GIO: 3.83km, Jojo: 8.05km",,9.40,591.02,59.10,8.05,653.55,65.35
2026-03-10,"Sand: 2.26km, Jojo: 10.87km",,2.26,593.28,59.33,10.87,664.42,66.44
2026-03-11,"EM: 6.63km, GIO: 5.41km, GIO: 4.10km, Boy: 7.38km, Palm: 4.01km, Palm: 2.52km, Jojo: 11.71km",,16.14,609.42,60.94,25.62,690.04,69.00
2026-03-12,"GIO: 5.04km, GIO: 4.47km, Sand: 2.02km, Jojo: 12.28km",,11.53,620.95,62.09,12.28,702.32,70.23
2026-03-12,Ton: 1.71km,,0,620.95,62.09,1.71,704.03,70.40
2026-03-13,"Sand: 2.01km, Toro: 6.04km, Jojo: 11.04km",,8.05,629.00,62.90,11.04,715.07,71.51
2026-03-14,"GIO: 6.07km, GIO: 5.73km, EM: 6.15km, Boy: 8.23km, Jojo: 13.52km",,17.95,646.95,64.69,21.75,736.82,73.68
2026-03-15,"GIO: 6.78km, GIO: 3.32km, Mos: 2.03km, Fuse: 8.21km, Boy: 6.52km, Jojo: 11.69km",,20.34,667.29,66.73,18.21,755.03,75.50
2026-03-16,"GIO: 6.06km, GIO: 3.42km, Sand: 3.50km, Oum: 4.82km, Game: 5.15km, Oat: 3.07km",,12.98,680.27,68.03,13.04,768.07,76.81
2026-03-17,"GIO: 9.10km, GIO: 5.20km, Boat: 5.72km, Sand: 4.52km, Game: 12.15km, Oum: 4.41km, O: 6.10km, Jojo: 10.01km",,24.54,704.81,70.48,32.67,800.74,80.07
2026-03-18,"Sand: 2.14km, Oat: 4.06km",,2.14,706.95,70.69,4.06,804.80,80.48
2026-03-19,"Sand: 3.05km, Game: 8.23km",,3.05,710.00,71.00,8.23,813.03,81.30
2026-03-20,"GIO: 7.94km, GIO: 3.70km, Sand: 3.30km, Oat: 3.20km, Jojo: 4.63km, Boy: 10.01km",,14.94,724.94,72.49,17.84,830.87,83.09
2026-03-21,"Boat: 10.03km, Sand: 10.10km, Boy: 10.02km, Boy: 10.02km",,20.13,745.07,74.51,20.04,850.91,85.09
2026-03-22,"GIO: 11.02km, GIO: 5.34km, EM: 6.01km, Boy: 10.00km",,22.37,767.44,76.74,10.00,860.91,86.09
